Num_PEs,Size,Reshape_Factor,Latency_Cycles,BRAM_%,DSP_%,FF_%,LUT_%,URAM_%,Status
4,512,2,N/A,18,3,10,24,75,Success
4,512,4,N/A,20,4,14,32,75,Success
4,512,8,N/A,22,6,24,52,75,Success
4,1024,2,N/A,18,3,10,24,75,Success
4,1024,4,N/A,20,4,14,32,75,Success
4,1024,8,N/A,22,6,24,52,75,Success
4,4096,2,N/A,22,3,10,24,75,Success
4,4096,4,N/A,22,4,14,32,75,Success
4,4096,8,N/A,22,6,24,52,75,Success
4,8192,2,N/A,27,3,10,24,75,Success
4,8192,4,N/A,27,4,14,32,75,Success
4,8192,8,N/A,27,6,24,52,75,Success
4,16384,2,N/A,38,3,10,24,75,Success
4,16384,4,N/A,38,4,14,32,75,Success
4,16384,8,N/A,38,6,24,52,75,Success
4,32768,2,N/A,56,3,10,24,75,Success
4,32768,4,N/A,58,4,14,32,75,Success
4,32768,8,N/A,58,6,24,52,75,Success
8,512,2,N/A,26,5,11,28,75,Success
8,512,4,N/A,28,5,16,36,75,Success
8,512,8,N/A,33,7,26,57,75,Success
8,1024,2,N/A,26,5,11,28,75,Success
8,1024,4,N/A,28,5,16,36,75,Success
8,1024,8,N/A,33,7,26,57,75,Success
8,4096,2,N/A,33,5,11,28,75,Success
8,4096,4,N/A,33,5,16,36,75,Success
8,4096,8,N/A,33,7,26,57,75,Success
8,8192,2,N/A,44,5,11,28,75,Success
8,8192,4,N/A,44,5,16,36,75,Success
8,8192,8,N/A,44,7,26,57,75,Success
8,16384,2,N/A,64,5,11,28,75,Success
8,16384,4,N/A,64,5,16,36,75,Success
8,16384,8,N/A,64,7,26,57,75,Success
8,32768,2,N/A,100,5,11,28,75,Success
8,32768,4,N/A,105,5,16,36,75,Success
8,32768,8,N/A,105,7,26,57,75,Success
16,512,2,N/A,41,7,14,35,75,Success
16,512,4,N/A,46,8,18,44,75,Success
16,512,8,N/A,56,9,29,67,75,Success
16,1024,2,N/A,41,7,14,35,75,Success
16,1024,4,N/A,46,8,18,44,75,Success
16,1024,8,N/A,56,9,29,67,75,Success
16,4096,2,N/A,56,7,14,35,75,Success
16,4096,4,N/A,56,8,18,44,75,Success
16,4096,8,N/A,56,9,29,67,75,Success
16,8192,2,N/A,77,7,14,35,75,Success
16,8192,4,N/A,77,8,18,44,75,Success
16,8192,8,N/A,77,9,29,67,75,Success
16,16384,2,N/A,118,7,14,35,75,Success
16,16384,4,N/A,118,8,18,44,75,Success
16,16384,8,N/A,118,9,29,67,75,Success
16,32768,2,N/A,189,7,14,35,75,Success
16,32768,4,N/A,200,8,18,44,75,Success
16,32768,8,N/A,200,9,29,67,75,Success
20,512,2,N/A,46,8,15,38,75,Success
20,512,4,N/A,52,9,20,48,75,Success
20,512,8,N/A,65,11,31,72,75,Success
20,1024,2,N/A,46,8,15,38,75,Success
20,1024,4,N/A,52,9,20,48,75,Success
20,1024,8,N/A,65,11,31,72,75,Success
20,4096,2,N/A,65,8,15,38,75,Success
20,4096,4,N/A,65,9,20,48,75,Success
20,4096,8,N/A,65,11,31,72,75,Success
20,8192,2,N/A,91,8,15,38,75,Success
20,8192,4,N/A,91,9,20,48,75,Success
20,8192,8,N/A,91,11,31,72,75,Success
20,16384,2,N/A,142,8,15,39,75,Success
20,16384,4,N/A,142,9,20,48,75,Success
20,16384,8,N/A,142,11,31,72,75,Success
20,32768,2,N/A,232,8,15,39,75,Success
20,32768,4,N/A,245,9,20,48,75,Success
20,32768,8,N/A,245,11,31,73,75,Success
30,512,2,N/A,59,11,18,47,75,Success
30,512,4,N/A,68,12,23,58,75,Success
30,512,8,N/A,88,13,34,85,75,Success
30,1024,2,N/A,59,11,18,47,75,Success
30,1024,4,N/A,68,12,23,58,75,Success
30,1024,8,N/A,88,13,35,85,75,Success
30,4096,2,N/A,88,11,18,47,75,Success
30,4096,4,N/A,88,12,23,58,75,Success
30,4096,8,N/A,88,13,35,85,75,Success
30,8192,2,N/A,126,11,18,47,75,Success
30,8192,4,N/A,126,12,23,58,75,Success
30,8192,8,N/A,126,13,35,85,75,Success
30,16384,2,N/A,203,11,18,47,75,Success
30,16384,4,N/A,203,12,23,58,75,Success
30,16384,8,N/A,203,13,35,85,75,Success
30,32768,2,N/A,338,11,18,47,75,Success
30,32768,4,N/A,357,12,23,58,75,Success
30,32768,8,N/A,357,13,35,85,75,Success
40,512,2,N/A,71,14,21,56,75,Success
40,512,4,N/A,84,15,26,68,75,Success
40,512,8,N/A,110,16,38,98,75,Success
40,1024,2,N/A,71,14,21,56,75,Success
40,1024,4,N/A,84,15,26,68,75,Success
40,1024,8,N/A,110,16,38,98,75,Success
40,4096,2,N/A,110,14,21,56,75,Success
40,4096,4,N/A,110,15,26,68,75,Success
40,4096,8,N/A,110,16,39,98,75,Success
40,8192,2,N/A,161,14,21,56,75,Success
40,8192,4,N/A,161,15,26,68,75,Success
40,8192,8,N/A,161,16,39,98,75,Success
40,16384,2,N/A,264,14,21,56,75,Success
40,16384,4,N/A,264,15,26,68,75,Success
40,16384,8,N/A,264,16,39,98,75,Success
40,32768,2,N/A,443,14,21,56,75,Success
40,32768,4,N/A,469,15,26,68,75,Success
40,32768,8,N/A,469,16,39,98,75,Success
