density,config,pes,adaptive_rho,solve_index,solve_ms,status,mae,admm_iterations,pcg_iterations,r_prim,r_dual
low,1024x1024_reshape4_pes4,4,0,1,63.633959999947365,1,1.889244e-05,115,130,0.005632638931274414,0.0015891677467152476
low,1024x1024_reshape4_pes4,4,0,2,63.62695000007079,1,1.889244e-05,115,130,0.005632638931274414,0.0015891677467152476
low,1024x1024_reshape4_pes4,4,0,3,63.63222000004498,1,1.889244e-05,115,130,0.005632638931274414,0.0015891677467152476
low,1024x1024_reshape4_pes4,4,0,4,63.634779999915736,1,1.889244e-05,115,130,0.005632638931274414,0.0015891677467152476
low,1024x1024_reshape4_pes4,4,0,5,63.63294999994196,1,1.889244e-05,115,130,0.005632638931274414,0.0015891677467152476
low,1024x1024_reshape4_pes4,4,1,1,63.62822000005508,1,1.889244e-05,115,130,0.005632638931274414,0.0015891677467152476
low,1024x1024_reshape4_pes4,4,1,2,63.63792000001922,1,1.889244e-05,115,130,0.005632638931274414,0.0015891677467152476
low,1024x1024_reshape4_pes4,4,1,3,63.63003999990724,1,1.889244e-05,115,130,0.005632638931274414,0.0015891677467152476
low,1024x1024_reshape4_pes4,4,1,4,63.63591000001634,1,1.889244e-05,115,130,0.005632638931274414,0.0015891677467152476
low,1024x1024_reshape4_pes4,4,1,5,63.637210000024425,1,1.889244e-05,115,130,0.005632638931274414,0.0015891677467152476
low,1024x1024_reshape4_pes8,8,0,1,54.69043999994483,1,1.88745e-05,115,130,0.005631685256958008,0.0015893164090812206
low,1024x1024_reshape4_pes8,8,0,2,54.692660000000615,1,1.88745e-05,115,130,0.005631685256958008,0.0015893164090812206
low,1024x1024_reshape4_pes8,8,0,3,54.69302000005882,1,1.88745e-05,115,130,0.005631685256958008,0.0015893164090812206
low,1024x1024_reshape4_pes8,8,0,4,54.68795000001592,1,1.88745e-05,115,130,0.005631685256958008,0.0015893164090812206
low,1024x1024_reshape4_pes8,8,0,5,54.69803000005413,1,1.88745e-05,115,130,0.005631685256958008,0.0015893164090812206
low,1024x1024_reshape4_pes8,8,1,1,54.68872999995256,1,1.88745e-05,115,130,0.005631685256958008,0.0015893164090812206
low,1024x1024_reshape4_pes8,8,1,2,54.69619000007242,1,1.88745e-05,115,130,0.005631685256958008,0.0015893164090812206
low,1024x1024_reshape4_pes8,8,1,3,54.68440999993618,1,1.88745e-05,115,130,0.005631685256958008,0.0015893164090812206
low,1024x1024_reshape4_pes8,8,1,4,54.69021999999768,1,1.88745e-05,115,130,0.005631685256958008,0.0015893164090812206
low,1024x1024_reshape4_pes8,8,1,5,54.71065999995517,1,1.88745e-05,115,130,0.005631685256958008,0.0015893164090812206
low,1024x1024_reshape4_pes16,16,0,1,48.81696000006741,1,1.8874498e-05,115,130,0.005626201629638672,0.0015884825261309743
low,1024x1024_reshape4_pes16,16,0,2,48.81976000001487,1,1.8874498e-05,115,130,0.005626201629638672,0.0015884825261309743
low,1024x1024_reshape4_pes16,16,0,3,48.82491000000755,1,1.8874498e-05,115,130,0.005626201629638672,0.0015884825261309743
low,1024x1024_reshape4_pes16,16,0,4,48.816699999974844,1,1.8874498e-05,115,130,0.005626201629638672,0.0015884825261309743
low,1024x1024_reshape4_pes16,16,0,5,48.839250000014545,1,1.8874498e-05,115,130,0.005626201629638672,0.0015884825261309743
low,1024x1024_reshape4_pes16,16,1,1,48.8181399999803,1,1.8874498e-05,115,130,0.005626201629638672,0.0015884825261309743
low,1024x1024_reshape4_pes16,16,1,2,48.821920000023056,1,1.8874498e-05,115,130,0.005626201629638672,0.0015884825261309743
low,1024x1024_reshape4_pes16,16,1,3,48.815619999913906,1,1.8874498e-05,115,130,0.005626201629638672,0.0015884825261309743
low,1024x1024_reshape4_pes16,16,1,4,48.81740999996964,1,1.8874498e-05,115,130,0.005626201629638672,0.0015884825261309743
